kierunek_nazwa;kierunek_skrot;wydzial_nazwa;wydzial_skrot;rodzaj_studiow_nazwa;rodzaj_studiow_skrot;rok_akademicki_nazwa;rodzaj_naboru_nazwa;rodzaj_naboru_skrot;profil_ksztalcenia_nazwa;profil_ksztalcenia_symbol;poziom_ksztalcenia_nazwa;poziom_ksztalcenia_symbol;forma_studiow_nazwa;forma_studiow_symbol;numer_semestru;rodzaj_wyboru_nazwa;rodzaj_wyboru_skrot;specjalnosc_nazwa;specjalnosc_skrot;przedmiot_nazwa;katedra_nazwa;katedra_skrot;sposob_zaliczenia_nazwa;sposob_zaliczenia_skrot;punkty_ects;godziny_wykladu;godziny_cwiczen;godziny_laboratorium;godziny_wykladu_nst;godziny_cwiczen_nst;godziny_laboratorium_nst;status_przedmiotu
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"ALGEBRA LINIOWA";"Katedra Badań Operacyjnych";"BO";"zaliczenie/egzamin";"Z/E";"4,0";"15";"30";"0";"9";"18";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"MATEMATYKA DYSKRETNA";"Katedra Badań Operacyjnych";"BO";"zaliczenie";"Z";"4,0";"15";"30";"0";"9";"18";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"PODSTAWY ZARZĄDZANIA";"Katedra Zarządzania Przedsiębiorstwem";"ZP";"zaliczenie";"Z";"3,0";"15";"15";"0";"9";"9";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"PRAWO I OCHRONA WŁASNOŚCI INTELEKTUALNEJ";"Samodzielny Zakład Prawa Gospodarczego i Handlowego";"SZPGH";"zaliczenie";"Z";"3,0";"30";"0";"0";"18";"0";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"SYSTEMY OPERACYJNE";"Katedra Informatyki";"INF";"zaliczenie/egzamin";"Z/E";"4,0";"15";"0";"30";"9";"0";"18";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"WSTĘP DO BAZ DANYCH";"Katedra Inżynierii Wiedzy";"IW";"zaliczenie/egzamin";"Z/E";"6,0";"30";"0";"30";"18";"0";"18";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"1";"kierunkowy";"KR";"-";"-";"WSTĘP DO PROGRAMOWANIA";"Katedra Inżynierii Wiedzy";"IW";"zaliczenie";"Z";"6,0";"30";"0";"30";"18";"0";"18";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"ALGORYTMY I STRUKTURY DANYCH";"Katedra Badań Operacyjnych";"BO";"zaliczenie/egzamin";"Z/E";"6,0";"30";"30";"0";"18";"18";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"ANALIZA MATEMATYCZNA";"Katedra Matematyki";"MAT";"zaliczenie/egzamin";"Z/E";"4,0";"15";"30";"0";"9";"18";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"ARCHITEKTURA SYSTEMÓW KOMPUTEROWYCH";"Katedra Informatyki";"INF";"zaliczenie";"Z";"2,0";"15";"0";"0";"9";"0";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"BADANIA MARKETINGOWE";"Katedra Badań Rynkowych i Marketingowych";"BRM";"zaliczenie";"Z";"4,0";"30";"15";"0";"18";"9";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"JĘZYKI I PARADYGMATY PROGRAMOWANIA IMPERATYWNEGO";"Katedra Inżynierii Wiedzy";"IW";"zaliczenie/egzamin";"Z/E";"4,0";"15";"0";"30";"9";"0";"18";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"MARKETING";"Katedra Badań Rynkowych i Marketingowych";"BRM";"zaliczenie";"Z";"4,0";"30";"15";"0";"18";"9";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"METODY PROBABILISTYCZNE I STATYSTYKA";"Katedra Demografii i Statystyki Ekonomicznej";"DSE";"zaliczenie/egzamin";"Z/E";"4,0";"15";"30";"0";"9";"18";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"PROJEKTOWANIE INTERFEJSU GRAFICZNEGO";"Katedra Inżynierii Wiedzy";"IW";"zaliczenie";"Z";"2,0";"15";"0";"0";"9";"0";"0";""
"Informatyka";"INF";"Wydział Informatyki i Komunikacji";"WIK";"Studia pierwszego stopnia licencjackie stacjonarne i niestacjonarne";"SN1st";"2015/2016";"zimowy";"Z";"ogólnoakademicki";"A";"Studia pierwszego stopnia licencjackie";"1st";"stacjonarne i niestacjonarne";"SN";"2";"kierunkowy";"KR";"-";"-";"SIECI KOMPUTEROWE";"Katedra Informatyki";"INF";"zaliczenie";"Z";"4,0";"15";"0";"30";"9";"0";"18";""
